month,portfolio_value,withdrawal,base_withdrawal,contribution,total_withdrawals,total_contributions,total_rebalance_costs,stocks_value,bonds_value,gold_value,cash_value,simulation
1,103649.7559225448,1200.0,1200.0,100,1200.0,100,0.0,51747.90993892431,30121.444417762712,21780.40156585778,0.0,8517
2,102240.54382927196,1201.9818975623043,1201.9818975623043,100,2401.9818975623043,200,0.0,50687.734672114624,30190.78575423459,21362.023402922743,0.0,8517
3,99298.4642000711,1203.9670683895647,1203.9670683895647,100,3605.948965951869,300,0.0,48348.60250329581,29713.062211406133,21236.79948536915,0.0,8517
4,102045.80895831945,1205.9555178878445,1205.9555178878445,100,4811.904483839713,400,0.0,51267.90896502952,29447.71801121968,21330.181982070262,0.0,8517
5,104960.34695266664,1207.9472514721356,1207.9472514721356,100,6019.851735311849,500,0.0,54051.3355492618,29122.69007749347,21786.321325911376,0.0,8517
6,103942.21852727704,2421.882867169822,1209.9422745663728,100,8441.73460248167,600,0.0,54658.123159968265,29025.282296351936,20258.81307095685,0.0,8517
7,100610.6709184693,1211.9405926034494,1211.9405926034494,100,9653.67519508512,700,0.0,51920.72296872439,28667.196581750282,20022.751367994635,0.0,8517
8,95316.83783219974,1213.9422110252315,1213.9422110252315,100,10867.61740611035,800,0.0,48839.25305225337,27405.747647205913,19071.837132740457,0.0,8517
9,96725.70344790486,1215.9471352825724,1215.9471352825724,100,12083.564541392923,900,0.0,50965.29755368342,27571.96466420904,18188.441230012388,0.0,8517
10,94258.53036424883,1217.9553708353285,1217.9553708353285,100,13301.519912228252,1000,0.0,48999.11699406021,27522.282658883203,17737.130711305424,0.0,8517
11,95701.22736933187,1219.9669231523735,1219.9669231523735,100,14521.486835380625,1100,0.0,51197.332425653236,27964.205173777144,16539.689769901477,0.0,8517
12,91923.45428000411,2445.981797711613,1221.9817977116131,100,16967.468633092238,1200,0.0,48836.294839469345,27479.941462465114,15607.217978069648,0.0,8517
13,92700.22246321048,1224.0000000000005,1224.0000000000005,100,18191.468633092238,1300,0.0,49380.344371901556,27752.10206097617,15567.776030332754,0.0,8517
14,91576.45888818108,1226.0215355135508,1226.0215355135508,100,19417.49016860579,1400,0.0,49074.08713280053,27902.45217524707,14599.919580133488,0.0,8517
15,91130.81171359464,1228.0464097573565,1228.0464097573565,100,20645.536578363146,1500,0.0,49095.150926326336,27824.259495869235,14211.401291399068,0.0,8517
16,93789.08359519663,1230.074628245602,1230.074628245602,100,21875.611206608748,1600,0.0,50258.83618393821,28452.125059032838,15078.12235222558,0.0,8517
17,92354.18807398388,1232.106196501579,1232.106196501579,100,23107.717403110328,1700,0.0,47900.815311056955,29306.63347750589,15146.73928542104,0.0,8517
18,94733.87082492889,1234.141120057701,1234.141120057701,100,24341.85852316803,1800,0.0,50363.14628669801,28406.29150400439,15964.433034226497,0.0,8517
19,95034.8654315464,1236.1794044555193,1236.1794044555193,100,25578.03792762355,1900,0.0,50074.80039462372,28299.901321570265,16660.163715352403,0.0,8517
20,100328.07465082806,1238.2210552457368,1238.2210552457368,100,26816.258982869287,2000,10.867168465044815,50164.03732541403,30098.422395248417,20065.61493016561,0.0,8517
21,99338.80639018651,1240.2660779882247,1240.2660779882247,100,28056.52506085751,2100,10.867168465044815,50558.12092709336,29265.344154468166,19515.341308624986,0.0,8517
22,101505.63675945283,1242.314478252036,1242.314478252036,100,29298.839539109547,2200,10.867168465044815,52956.12769088214,29345.67873741454,19203.830331156147,0.0,8517
23,99007.64670135119,1244.3662616154218,1244.3662616154218,100,30543.20580072497,2300,10.867168465044815,51290.44584713297,28705.485829895897,19011.715024322322,0.0,8517
24,98716.01757464372,1246.421433665846,1246.421433665846,100,31789.627234390813,2400,10.867168465044815,49616.567342753246,29184.770024289548,19914.68020760094,0.0,8517
25,99962.27232497491,1248.4800000000012,1248.4800000000012,100,33038.107234390816,2500,10.867168465044815,50242.384312845854,28743.09424072951,20976.79377139954,0.0,8517
26,99982.20982810156,1250.5419662238226,1250.5419662238226,100,34288.649200614636,2600,10.867168465044815,49861.86841277951,28780.410329011174,21339.93108631087,0.0,8517
27,100071.23589318822,1252.6073379525044,1252.6073379525044,100,35541.25653856714,2700,10.867168465044815,50145.11568209272,27989.759671807606,21936.360539287904,0.0,8517
28,103528.04936516826,1254.676120810515,1254.676120810515,100,36795.93265937766,2800,10.867168465044815,53074.45201621905,27846.025732912905,22607.57161603631,0.0,8517
29,103167.6732579618,1256.7483204316113,1256.7483204316113,100,38052.680979809265,2900,10.867168465044815,52684.87646892273,27731.078809783114,22751.71797925595,0.0,8517
30,104037.57483556343,1258.8239424588558,1258.8239424588558,100,39311.50492226812,3000,10.867168465044815,53522.73322875605,27077.59052577657,23437.251081030798,0.0,8517
31,102858.217122492,1260.9029925446303,1260.9029925446303,100,40572.40791481275,3100,10.867168465044815,51571.04284711473,27691.985361921477,23595.188913455797,0.0,8517
