final_value,total_withdrawals,total_contributions,net_flow,total_rebalance_costs,months_survived,survived_full_period,total_return
0.0,166740.46654751105,11000,-155740.46654751105,0.0,109,False,-1.0
22954.420972955988,187725.42765367476,12000,-175725.42765367476,0.0,120,True,-0.7704557902704401
19309.567022434618,187725.42765367476,12000,-175725.42765367476,0.0,120,True,-0.8069043297756539
0.0,170486.438256948,11200,-159286.438256948,0.0,111,False,-1.0
0.0,109133.91280565388,7700,-101433.91280565388,0.0,76,False,-1.0
41063.48453620172,187725.42765367476,12000,-175725.42765367476,0.0,120,True,-0.5893651546379828
32491.386534535068,187725.42765367476,12000,-175725.42765367476,0.0,120,True,-0.6750861346546494
13547.780379436514,187725.42765367476,12000,-175725.42765367476,0.0,120,True,-0.8645221962056349
0.0,91586.46044479097,6600,-84986.46044479097,0.0,65,False,-1.0
0.0,183839.84217465855,11900,-171939.84217465855,0.0,118,False,-1.0
0.0,150255.4920966215,10100,-140155.4920966215,0.0,100,False,-1.0
0.0,86935.43501550601,6300,-80635.43501550601,0.0,62,False,-1.0
0.0,129193.2197768576,8900,-120293.2197768576,0.0,88,False,-1.0
0.0,152057.5084931297,10200,-141857.5084931297,0.0,101,False,-1.0
0.0,117373.18543907536,8200,-109173.18543907536,0.0,81,False,-1.0
0.0,127483.97735016765,8800,-118683.97735016765,0.0,87,False,-1.0
0.0,91586.46044479097,6600,-84986.46044479097,0.0,65,False,-1.0
6309.482829257162,187725.42765367476,12000,-175725.42765367476,0.0,120,True,-0.9369051717074284
53254.12132506007,187725.42765367476,12000,-175725.42765367476,0.0,120,True,-0.4674587867493993
0.0,120716.08089826099,8400,-112316.08089826099,0.0,83,False,-1.0
26921.385159683585,187725.42765367476,12000,-175725.42765367476,0.0,120,True,-0.7307861484031641
0.0,132632.6239967394,9100,-123532.62399673939,0.0,90,False,-1.0
0.0,141354.49627409506,9600,-131754.49627409506,0.0,95,False,-1.0
0.0,129193.2197768576,8900,-120293.2197768576,0.0,88,False,-1.0
0.0,102662.03690107612,7300,-95362.03690107612,0.0,72,False,-1.0
0.0,107506.06287547297,7600,-99906.06287547297,0.0,75,False,-1.0
0.0,157507.72727463717,10500,-147007.72727463717,0.0,104,False,-1.0
0.0,125781.67033298349,8700,-117081.67033298349,0.0,86,False,-1.0
100880.94510485271,187725.42765367476,12000,-175725.42765367476,0.0,120,True,0.008809451048527117
0.0,153866.86652749742,10300,-143566.86652749742,0.0,102,False,-1.0
0.0,134362.84264718575,9200,-125162.84264718575,0.0,91,False,-1.0
0.0,130909.42586877015,9000,-121909.42586877015,0.0,89,False,-1.0
0.0,161178.31508927376,10700,-150478.31508927376,0.0,106,False,-1.0
0.0,119041.23524796881,8300,-110741.23524796881,0.0,82,False,-1.0
0.0,110768.39479795154,7800,-102968.39479795154,0.0,77,False,-1.0
113996.45145737618,187725.42765367476,12000,-175725.42765367476,0.0,120,True,0.13996451457376186
69403.77963886429,187725.42765367476,12000,-175725.42765367476,0.0,120,True,-0.3059622036113571
0.0,124086.27058423847,8600,-115486.27058423847,0.0,85,False,-1.0
0.0,124086.27058423847,8600,-115486.27058423847,0.0,85,False,-1.0
0.0,141354.49627409506,9600,-131754.49627409506,0.0,95,False,-1.0
0.0,153866.86652749742,10300,-143566.86652749742,0.0,102,False,-1.0
0.0,117373.18543907536,8200,-109173.18543907536,0.0,81,False,-1.0
0.0,161178.31508927376,10700,-150478.31508927376,0.0,106,False,-1.0
0.0,143120.2489118245,9700,-133420.2489118245,0.0,96,False,-1.0
88503.23337662657,187725.42765367476,12000,-175725.42765367476,0.0,120,True,-0.11496766623373435
50923.724120670544,187725.42765367476,12000,-175725.42765367476,0.0,120,True,-0.49076275879329456
0.0,155683.59611046608,10400,-145283.59611046608,0.0,103,False,-1.0
44481.52354759223,187725.42765367476,12000,-175725.42765367476,0.0,120,True,-0.5551847645240777
0.0,146673.36518055366,9900,-136773.36518055366,0.0,98,False,-1.0
0.0,93149.4519440828,6700,-86449.4519440828,0.0,66,False,-1.0
0.0,153866.86652749742,10300,-143566.86652749742,0.0,102,False,-1.0
0.0,137844.45604195015,9400,-128444.45604195015,0.0,93,False,-1.0
0.0,115711.90389682453,8100,-107611.90389682453,0.0,80,False,-1.0
0.0,120716.08089826099,8400,-112316.08089826099,0.0,83,False,-1.0
0.0,129193.2197768576,8900,-120293.2197768576,0.0,88,False,-1.0
0.0,168609.64477050243,11100,-157509.64477050243,0.0,110,False,-1.0
0.0,101060.44720699043,7200,-93860.44720699043,0.0,71,False,-1.0
22591.99723931684,187725.42765367476,12000,-175725.42765367476,0.0,120,True,-0.7740800276068316
0.0,148460.78754859706,10000,-138460.78754859706,0.0,99,False,-1.0
0.0,127483.97735016765,8800,-118683.97735016765,0.0,87,False,-1.0
0.0,114057.36315834735,8000,-106057.36315834735,0.0,79,False,-1.0
0.0,163024.83241872088,10800,-152224.83241872088,0.0,107,False,-1.0
0.0,166740.46654751105,11000,-155740.46654751105,0.0,109,False,-1.0
0.0,99465.35611147407,7100,-92365.35611147407,0.0,70,False,-1.0
85975.44677091195,187725.42765367476,12000,-175725.42765367476,0.0,120,True,-0.14024553229088052
0.0,125781.67033298349,8700,-117081.67033298349,0.0,86,False,-1.0
0.0,141354.49627409506,9600,-131754.49627409506,0.0,95,False,-1.0
11187.404596547545,187725.42765367476,12000,-175725.42765367476,0.0,120,True,-0.8881259540345247
0.0,117373.18543907536,8200,-109173.18543907536,0.0,81,False,-1.0
0.0,183839.84217465855,11900,-171939.84217465855,0.0,118,False,-1.0
0.0,102662.03690107612,7300,-95362.03690107612,0.0,72,False,-1.0
0.0,136100.1104225868,9300,-126800.11042258679,0.0,92,False,-1.0
0.0,136100.1104225868,9300,-126800.11042258679,0.0,92,False,-1.0
30653.281475278516,187725.42765367476,12000,-175725.42765367476,0.0,120,True,-0.6934671852472148
0.0,124086.27058423847,8600,-115486.27058423847,0.0,85,False,-1.0
24284.1157083966,187725.42765367476,12000,-175725.42765367476,0.0,120,True,-0.7571588429160341
0.0,119041.23524796881,8300,-110741.23524796881,0.0,82,False,-1.0
0.0,124086.27058423847,8600,-115486.27058423847,0.0,85,False,-1.0
