month,portfolio_value,withdrawal,base_withdrawal,contribution,total_withdrawals,total_contributions,total_rebalance_costs,stocks_value,bonds_value,gold_value,cash_value,simulation
1,102422.83074379401,1200.0,1200.0,100,1200.0,100,0,72437.96163166717,20078.437192181882,0.0,9906.43191994497,8517
2,100883.15207994831,1201.9818975623043,1201.9818975623043,100,2401.9818975623043,200,0,70943.72415944259,20121.771926166017,0.0,9817.655994339699,8517
3,97175.40456549308,1203.9670683895647,1203.9670683895647,100,3605.948965951869,300,0,67653.5686893751,19798.619186996293,0.0,9723.216689121688,8517
4,100988.19502290232,1205.9555178878445,1205.9555178878445,100,4811.904483839713,400,0,71730.46195652624,19619.61018344903,0.0,9638.122882927048,8517
5,104577.70751178534,1207.9472514721356,1207.9472514721356,100,6019.851735311849,500,0,75621.94695827982,19402.318026029225,0.0,9553.442527476296,8517
6,105194.12434483667,2421.882867169822,1209.9422745663728,100,8441.73460248167,600,0,76490.7795491181,19342.45208585357,0.0,9360.892709865002,8517
7,101043.24201319453,1211.9405926034494,1211.9405926034494,100,9653.67519508512,700,0,72663.35183834929,19104.71775259241,0.0,9275.172422252821,8517
8,95804.09879247454,1213.9422110252315,1213.9422110252315,100,10867.61740611035,800,0,68354.83288307977,18265.121786912503,0.0,9184.144122482281,8517
9,98825.82029947918,1215.9471352825724,1215.9471352825724,100,12083.564541392923,900,0,71347.71237468757,18380.35551258629,0.0,9097.752412205315,8517
10,95969.06702375463,1217.9553708353285,1217.9553708353285,100,13301.519912228252,1000,0,68609.53653940151,18351.069838193274,0.0,9008.460646159843,8517
11,99293.93030379448,1219.9669231523735,1219.9669231523735,100,14521.486835380625,1100,0,71717.5378437463,18653.538301629218,0.0,8922.854158418962,8517
12,95542.7468772728,2445.981797711613,1221.9817977116131,100,16967.468633092238,1200,0,68474.73393785147,18347.806653065472,0.0,8720.206286355862,8517
13,96440.74019776873,1224.0000000000005,1224.0000000000005,100,18191.468633092238,1300,0,69269.74692748068,18538.136512193672,0.0,8632.85675809438,8517
14,96077.33601553399,1226.0215355135508,1226.0215355135508,100,19417.49016860579,1400,0,68879.32955389749,18649.180793383686,0.0,8548.825668252806,8517
15,96026.4282135199,1228.0464097573565,1228.0464097573565,100,20645.536578363146,1500,0,68951.87574230274,18608.518814334304,0.0,8466.03365688284,8517
16,98044.62802155368,1230.074628245602,1230.074628245602,100,21875.611206608748,1600,0,70622.71266030803,19038.265613114436,0.0,8383.649748131233,8517
17,95251.2200491037,1232.106196501579,1232.106196501579,100,23107.717403110328,1700,0,67334.06912610443,19617.271067242982,0.0,8299.879855756291,8517
18,98066.2640279129,1234.141120057701,1234.141120057701,100,24341.85852316803,1800,0,70823.83371939244,19022.247269495285,0.0,8220.183039025165,8517
19,97539.26181446115,1236.1794044555193,1236.1794044555193,100,25578.03792762355,1900,0,70439.71054376775,18956.753475837806,0.0,8142.797794855588,8517
20,105188.85256775231,1238.2210552457368,1238.2210552457368,100,26816.258982869287,2000,0,78256.72106747699,18861.832007354315,0.0,8070.299492920996,8517
21,105270.34727024121,1240.2660779882247,1240.2660779882247,100,28056.52506085751,2100,0,78921.96291075712,18351.499855316193,0.0,7996.884504167905,8517
22,109068.67772613598,1242.314478252036,1242.314478252036,100,29298.839539109547,2200,0,82729.12599650164,18416.08663079378,0.0,7923.465098840582,8517
23,106063.93217926924,1244.3662616154218,1244.3662616154218,100,30543.20580072497,2300,0,80187.92125555026,18028.03354567437,0.0,7847.977378044611,8517
24,103732.06206289087,1246.421433665846,1246.421433665846,100,31789.627234390813,2400,0,77614.05077163831,18339.221076735375,0.0,7778.790214517181,8517
25,104407.86835535648,1248.4800000000012,1248.4800000000012,100,33038.107234390816,2500,0,78631.03097807734,18070.418996290093,0.0,7706.418380989047,8517
26,103803.54609476517,1250.5419662238226,1250.5419662238226,100,34288.649200614636,2600,0,78068.20621714443,18101.460162247895,0.0,7633.8797153728465,8517
27,103715.86736149254,1252.6073379525044,1252.6073379525044,100,35541.25653856714,2700,0,78543.11138546425,17611.22672737752,0.0,7561.529248650759,8517
28,108192.5559307845,1254.676120810515,1254.676120810515,100,36795.93265937766,2800,0,83170.93028497345,17529.124897479465,0.0,7492.500748331587,8517
29,107487.6211992264,1256.7483204316113,1256.7483204316113,100,38052.680979809265,2900,0,82597.2491320785,17464.548296340654,0.0,7425.823770807243,8517
30,108366.99881963419,1258.8239424588558,1258.8239424588558,100,39311.50492226812,3000,0,83947.75282100325,17060.501104437742,0.0,7358.744894193182,8517
31,105658.34901292779,1260.9029925446303,1260.9029925446303,100,40572.40791481275,3100,0,80910.5543403222,17452.768632852523,0.0,7295.026039753079,8517
32,103387.92383603205,1262.985476350652,1262.985476350652,100,41835.3933911634,3200,0,78530.70593205607,17631.16204423761,0.0,7226.055859738381,8517
33,106939.56233204964,1265.0713995479896,1265.0713995479896,100,43100.46479071139,3300,0,81949.38393922798,17831.77161802004,0.0,7158.406774801618,8517
34,107014.31322020157,1267.1607678170772,1267.1607678170772,100,44367.62555852847,3400,0,81906.54241601116,18015.503383313284,0.0,7092.267420877137,8517
35,108806.06654822837,1269.2535868477307,1269.2535868477307,100,45636.879145376195,3500,0,83980.61864361422,17797.610147531803,0.0,7027.837757082331,8517
36,98752.88537471545,1271.3498623391636,1271.3498623391636,100,46908.22900771536,3600,0,73988.29604567318,17802.724449516878,0.0,6961.864879525386,8517
37,98732.11533691277,1273.4496000000017,1273.4496000000017,100,48181.67860771536,3700,0,74323.8161603913,17517.674706428028,0.0,6890.624470093456,8517
38,108099.27845784731,1275.5528055482996,1275.5528055482996,100,49457.23141326366,3800,0,84215.76646733734,17058.666677576115,0.0,6824.845312933861,8517
39,106440.53833913078,1277.659484711555,1277.659484711555,100,50734.890897975216,3900,0,82821.54607351508,16858.817282531643,0.0,6760.174983084054,8517
40,104131.37663693893,1279.7696432267257,1279.7696432267257,100,52014.66054120194,4000,0,80632.32693402821,16801.669019063283,0.0,6697.380683847446,8517
41,99121.30834491867,1281.8832868402442,1281.8832868402442,100,53296.54382804219,4100,0,76118.97678649084,16369.867073862917,0.0,6632.46448456492,8517
42,99856.35117624087,1284.0004213080335,1284.0004213080335,100,54580.54424935022,4200,0,76847.22797714197,16442.223058095296,0.0,6566.900141003617,8517
43,99746.17271664568,1286.1210523955235,1286.1210523955235,100,55866.66530174574,4300,0,77291.0816888653,15952.09958999777,0.0,6502.991437782607,8517
44,94212.32262394075,1288.245185877666,1288.245185877666,100,57154.91048762341,4400,0,72330.09150885332,15450.532952543525,0.0,6431.698162543893,8517
45,92411.11906454618,1290.3728275389503,1290.3728275389503,100,58445.28331516236,4500,0,70838.89030250101,15210.470948505263,0.0,6361.757813539893,8517
46,92496.70645019972,1292.5039831734196,1292.5039831734196,100,59737.78729833578,4600,0,71065.26534451738,15140.714736685508,0.0,6290.726368996843,8517
47,91279.62020769532,1294.6386585846863,1294.6386585846863,100,61032.425956920466,4700,0,69501.47808862856,15555.453770994598,0.0,6222.688348072161,8517
48,93158.20857066014,1296.7768595859477,1296.7768595859477,100,62329.20281650641,4800,0,71705.89777122092,15296.466414638757,0.0,6155.844384800474,8517
49,88836.46554691669,1298.9185920000027,1298.9185920000027,100,63628.12140850641,4900,0,67254.74757185017,15498.607140708289,0.0,6083.110834358235,8517
50,89312.53403989821,1301.0638616592664,1301.0638616592664,100,64929.18527016568,5000,0,67868.49640567787,15431.701157284027,0.0,6012.336476936313,8517
51,88149.43967219054,1303.212674405787,1303.212674405787,100,66232.39794457146,5100,0,66502.19277573194,15702.946079074245,0.0,5944.300817384355,8517
52,87114.3730963674,1305.3650360912611,1305.3650360912611,100,67537.76298066272,5200,0,65915.56539792356,15323.696983329592,0.0,5875.110715114236,8517
53,87134.42762421675,1307.52095257705,1307.52095257705,100,68845.28393323977,5300,0,66020.44535818916,15310.879166676852,0.0,5803.103099350753,8517
54,90676.3283946348,1309.680429734195,1309.680429734195,100,70154.96436297396,5400,0,70003.94940089961,14936.563635462882,0.0,5735.815358272289,8517
55,89965.36307363171,1311.843473443435,1311.843473443435,100,71466.8078364174,5500,0,69058.15784568457,15239.024904283235,0.0,5668.180323663915,8517
56,90741.72072739751,1314.0100895952203,1314.0100895952203,100,72780.81792601262,5600,0,69818.62199220005,15320.299525655395,0.0,5602.799209542067,8517
57,93139.002235965,1316.1802840897303,1316.1802840897303,100,74096.99821010235,5700,0,72476.5619077295,15121.388213067115,0.0,5541.052115168393,8517
58,90043.08627012279,1318.354062836889,1318.354062836889,100,75415.35227293924,5800,0,69665.18108697858,14901.703361947672,0.0,5476.201821196546,8517
59,85787.34788208472,1320.531431756381,1320.531431756381,100,76735.88370469562,5900,0,65997.12042991289,14380.07699888579,0.0,5410.150453286047,8517
60,83868.61523998535,1322.7123967776677,1322.7123967776677,100,78058.59610147329,6000,0,64452.22508315356,14077.076371830613,0.0,5339.313785001178,8517
61,85823.26182455303,1324.8969638400038,1324.8969638400038,100,79383.49306531329,6100,0,66815.52917143222,13733.191428135558,0.0,5274.541224985247,8517
62,83475.97854134892,1327.0851388924527,1327.0851388924527,100,80710.57820420574,6200,0,64689.93858564613,13580.365218819748,0.0,5205.674736883037,8517
63,81135.98414253848,1329.2769278939038,1329.2769278939038,100,82039.85513209965,6300,0,62514.205369903924,13484.189099920826,0.0,5137.589672713723,8517
64,75630.23250057736,1331.4723368130874,1331.4723368130874,100,83371.32746891274,6400,0,57293.23244650802,13276.830502622663,0.0,5060.1695514466965,8517
65,72235.44107775582,1333.671371628592,1333.671371628592,100,84704.99884054133,6500,0,54554.63874557178,12694.71492664811,0.0,4986.087405535938,8517
66,73127.63666029798,1335.87403832888,1335.87403832888,100,86040.87287887021,6600,0,55745.07957436167,12471.914570909674,0.0,4910.642515026646,8517
67,70965.4566724842,1338.0803429123046,1338.0803429123046,100,87378.95322178252,6700,0,54124.32390417301,12006.365981961826,0.0,4834.766786349353,8517
68,75165.64767386028,1340.2902913871255,1340.2902913871255,100,88719.24351316964,6800,0,58234.491864713935,12170.388666356952,0.0,4760.767142789395,8517
69,79760.81710135778,1342.5038897715258,1342.5038897715258,100,90061.74740294117,6900,0,62764.760309286874,12301.095684691238,0.0,4694.961107379678,8517
70,78696.36220072962,1344.7211440936276,1344.7211440936276,100,91406.46854703479,7000,0,62017.96894851965,12047.902580160957,0.0,4630.490672049018,8517
71,79262.23228042011,1346.9420603915094,1346.9420603915094,100,92753.4106074263,7100,0,63258.59266336201,11436.76577719353,0.0,4566.873839864559,8517
72,82751.820167255,1349.1666447132218,1349.1666447132218,100,94102.57725213951,7200,0,67138.77964630241,11105.25958988813,0.0,4507.780931064447,8517
73,79654.12839028808,1351.3949031168047,1351.3949031168047,100,95453.97215525631,7300,0,64383.97640375495,10821.858518940728,0.0,4448.293467592409,8517
74,80865.95885972124,1353.6268416703026,1353.6268416703026,100,96807.59899692662,7400,0,66237.78527142602,10243.043202098159,0.0,4385.13038619706,8517
75,79753.22826645932,1355.8624664517827,1355.8624664517827,100,98163.46146337841,7500,0,65269.84595239498,10158.141037455689,0.0,4325.241276608656,8517
76,78270.43610249834,1358.1017835493499,1358.1017835493499,100,99521.56324692776,7600,0,63973.153577657344,10032.871182459907,0.0,4264.411342381099,8517
77,74250.7825281181,1360.3447990611644,1360.3447990611644,100,100881.90804598892,7700,0,60237.920297013785,9811.888153003563,0.0,4200.974078100757,8517
78,72094.5188438547,1362.5915190954581,1362.5915190954581,100,102244.49956508438,7800,0,58374.71251735635,9584.485945609675,0.0,4135.320380888691,8517
79,73680.01442103073,1364.8419497705513,1364.8419497705513,100,103609.34151485492,7900,0,60214.69782123154,9394.35776457036,0.0,4070.958835228837,8517
80,71949.95149854955,1367.0960972148687,1367.0960972148687,100,104976.4376120698,8000,0,58844.913548713244,9097.126352103012,0.0,4007.9115977333076,8517
81,74391.88984406045,1369.353967566957,1369.353967566957,100,106345.79157963676,8100,0,61364.606083932274,9077.814337915006,0.0,3949.469422213184,8517
82,71789.70218497812,1371.6155669755008,1371.6155669755008,100,107717.40714661226,8200,0,58999.478319801376,8901.983655627253,0.0,3888.2402095494867,8517
83,68957.21011493991,1373.8809015993402,1373.8809015993402,100,109091.2880482116,8300,0,56584.84447331861,8546.55514006874,0.0,3825.8105015525607,8517
84,66220.39113036358,1376.149977607487,1376.149977607487,100,110467.4380258191,8400,0,54243.79562030655,8218.332770732142,0.0,3758.2627393249013,8517
85,63325.4147535585,1378.4228011791415,1378.4228011791415,100,111845.86082699824,8500,0,51848.03083944156,7788.3575781246345,0.0,3689.0263359922988,8517
86,66022.08082863194,1380.6993785037096,1380.6993785037096,100,113226.56020550194,8600,0,54754.25952885503,7643.013005646391,0.0,3624.808294130515,8517
87,66521.84833537051,1382.979715780819,1382.979715780819,100,114609.53992128276,8700,0,55340.51371289507,7620.0786668842775,0.0,3561.255955591169,8517
88,65356.72092719345,1385.2638192203376,1385.2638192203376,100,115994.80374050309,8800,0,54264.945575834434,7592.2470313515605,0.0,3499.5283200074546,8517
89,62776.819290713116,1387.5516950423885,1387.5516950423885,100,117382.35543554548,8900,0,52117.44547308405,7224.394844554408,0.0,3434.978973074659,8517
90,57079.50698837307,1389.8433494773683,1389.8433494773683,100,118772.19878502285,9000,0,46452.00067165349,7263.3968301008135,0.0,3364.1094866187673,8517
91,58022.00507343261,1392.1387887659632,1392.1387887659632,100,120164.33757378881,9100,0,47838.24001675161,6886.977504174271,0.0,3296.7875525067293,8517
92,61466.92941131145,1394.438019159167,1394.438019159167,100,121558.77559294798,9200,0,51473.59030157342,6760.242828299148,0.0,3233.0962814388913,8517
93,59859.11025950234,1396.741046918297,1396.741046918297,100,122955.51663986627,9300,0,50304.623802750764,6386.887397963608,0.0,3167.5990587879587,8517
94,55724.85141438814,1399.0478783150115,1399.0478783150115,100,124354.56451818129,9400,0,46493.64861277612,6131.553569380485,0.0,3099.649232231526,8517
95,57923.50336143751,1401.3585196313277,1401.3585196313277,100,125755.92303781261,9500,0,48816.10360373832,6071.574864467924,0.0,3035.8248932312717,8517
96,58616.58379606749,1403.6729771596374,1403.6729771596374,100,127159.59601497225,9600,0,49735.8189841814,5907.082674658615,0.0,2973.6821372274703,8517
97,55525.864531627274,1405.991257202725,1405.991257202725,100,128565.58727217498,9700,0,46735.381825174365,5879.994263884247,0.0,2910.488442568663,8517
98,53782.63458548939,1408.3133660737842,1408.3133660737842,100,129973.90063824876,9800,0,45260.08417408381,5676.18871767055,0.0,2846.361693735023,8517
99,47318.57110172083,1410.639310096436,1410.639310096436,100,131384.5399483452,9900,0,38945.45924001383,5598.586344875998,0.0,2774.5255168310127,8517
100,47328.596176462626,1412.969095604745,1412.969095604745,100,132797.50904394995,10000,0,39222.173577410125,5402.483825185732,0.0,2703.938773866766,8517
101,44143.13822156395,1415.3027289432368,1415.3027289432368,100,134212.81177289318,10100,0,36446.88483124296,5066.615217653524,0.0,2629.63817266747,8517
102,44473.34017009464,1417.6402164669162,1417.6402164669162,100,135630.4519893601,10200,0,36993.340997585794,4922.1856627845345,0.0,2557.813509724317,8517
103,44827.22950586212,1419.981564541283,1419.981564541283,100,137050.43355390138,10300,0,37471.26341625795,4866.529821674329,0.0,2489.4362679298365,8517
104,44696.875868455085,1422.3267795423508,1422.3267795423508,100,138472.76033344373,10400,0,37655.27530846398,4620.172970711094,0.0,2421.427589280015,8517
105,41729.83988484436,1424.6758678566634,1424.6758678566634,100,139897.43620130038,10500,0,34963.62462698343,4415.592868106681,0.0,2350.622389754254,8517
106,40931.85727121254,1427.0288358813125,1427.0288358813125,100,141324.4650371817,10600,0,34311.59957991437,4340.4021520188835,0.0,2279.85553927928,8517
107,40646.70113962144,1429.385690023955,1429.385690023955,100,142753.85072720566,10700,0,34153.607702265675,4282.040653819834,0.0,2211.052783535933,8517
108,42405.29161654709,1431.746436702831,1431.746436702831,100,144185.5971639085,10800,0,36128.632384064964,4129.120685939447,0.0,2147.538546542677,8517
109,41164.847503588986,1434.1110823467804,1434.1110823467804,100,145619.7082462553,10900,0,35119.758103119726,3961.490647107454,0.0,2083.598753361804,8517
