final_value,total_withdrawals,total_contributions,net_flow,total_rebalance_costs,months_survived,survived_full_period,total_return
42711.27047693618,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.5728872952306382
0.0,158633.76356656215,11900,-146733.76356656215,0.0,118,False,-1.0
22355.57211241995,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.7764442788758005
0.0,160091.73697038658,12000,-148091.73697038658,0.0,119,False,-1.0
0.0,115994.80374050309,8900,-107094.80374050309,0.0,88,False,-1.0
0.0,121558.77559294798,9300,-112258.77559294798,0.0,92,False,-1.0
0.0,152825.87025778412,11500,-141325.87025778412,0.0,114,False,-1.0
52654.08903172398,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.47345910968276017
0.0,117382.35543554548,9000,-108382.35543554548,0.0,89,False,-1.0
0.0,157178.1941539632,11800,-145378.1941539632,0.0,117,False,-1.0
60717.79815896342,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.3928220184103658
27083.707393920493,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.7291629260607951
152205.85357791965,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.5220585357791966
0.0,110467.4380258191,8500,-101967.4380258191,0.0,84,False,-1.0
41179.453202256176,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.5882054679774382
0.0,157178.1941539632,11800,-145378.1941539632,0.0,117,False,-1.0
123414.37494739942,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.23414374947399424
38770.720177911564,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.6122927982208843
119640.6482659049,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.19640648265904906
0.0,129973.90063824876,9900,-120073.90063824876,0.0,98,False,-1.0
0.0,129973.90063824876,9900,-120073.90063824876,0.0,98,False,-1.0
49689.89527174941,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.5031010472825059
34018.15830612206,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.6598184169387794
61102.164559690595,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.38897835440309403
0.0,139897.43620130038,10600,-129297.43620130038,0.0,105,False,-1.0
61972.79934886916,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.38027200651130844
0.0,107717.40714661226,8300,-99417.40714661226,0.0,82,False,-1.0
85604.10103873811,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.1439589896126189
0.0,104976.4376120698,8100,-96876.4376120698,0.0,80,False,-1.0
86934.08973884372,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.13065910261156286
0.0,118772.19878502285,9100,-109672.19878502285,0.0,90,False,-1.0
0.0,142753.85072720566,10800,-131953.85072720566,0.0,107,False,-1.0
0.0,151379.87723698787,11400,-139979.87723698787,0.0,113,False,-1.0
0.0,155725.02476874943,11700,-144025.02476874943,0.0,116,False,-1.0
22127.186077613394,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.778728139223866
0.0,149936.26845346577,11300,-138636.26845346577,0.0,112,False,-1.0
122871.99373196778,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.22871993731967785
0.0,102244.49956508438,7900,-94344.49956508438,0.0,78,False,-1.0
75058.3679256164,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.24941632074383596
174394.37878761344,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.7439437878761345
43146.980820424564,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.5685301917957544
0.0,124354.56451818129,9500,-114854.56451818129,0.0,94,False,-1.0
64385.18043042759,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.35614819569572415
121575.66549829012,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.21575665498290122
0.0,141324.4650371817,10700,-130624.46503718171,0.0,106,False,-1.0
0.0,106345.79157963676,8200,-98145.79157963676,0.0,81,False,-1.0
0.0,128565.58727217498,9800,-118765.58727217498,0.0,97,False,-1.0
0.0,128565.58727217498,9800,-118765.58727217498,0.0,97,False,-1.0
109806.95086153796,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.0980695086153796
0.0,104976.4376120698,8100,-96876.4376120698,0.0,80,False,-1.0
56463.303675201016,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.43536696324798985
10021.599031403626,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.8997840096859637
0.0,155725.02476874943,11700,-144025.02476874943,0.0,116,False,-1.0
0.0,110467.4380258191,8500,-101967.4380258191,0.0,84,False,-1.0
0.0,124354.56451818129,9500,-114854.56451818129,0.0,94,False,-1.0
45002.75278465946,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.5499724721534054
57147.573383789575,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.42852426616210426
0.0,147056.18787965056,11100,-135956.18787965056,0.0,110,False,-1.0
70432.61126913097,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.2956738873086903
0.0,106345.79157963676,8200,-98145.79157963676,0.0,81,False,-1.0
0.0,148495.03997594892,11200,-137295.03997594892,0.0,111,False,-1.0
8916.214723139854,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9108378527686014
0.0,109091.2880482116,8400,-100691.2880482116,0.0,83,False,-1.0
0.0,110467.4380258191,8500,-101967.4380258191,0.0,84,False,-1.0
33030.20175620535,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.6696979824379465
24869.826034547288,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.7513017396545271
8614.538794444165,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9138546120555584
0.0,117382.35543554548,9000,-108382.35543554548,0.0,89,False,-1.0
154025.23871466418,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.5402523871466418
0.0,160091.73697038658,12000,-148091.73697038658,0.0,119,False,-1.0
0.0,121558.77559294798,9300,-112258.77559294798,0.0,92,False,-1.0
0.0,137050.43355390138,10400,-126650.43355390138,0.0,103,False,-1.0
66114.3850689468,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.33885614931053204
87424.20060576026,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.12575799394239745
0.0,125755.92303781261,9600,-116155.92303781261,0.0,95,False,-1.0
0.0,149936.26845346577,11300,-138636.26845346577,0.0,112,False,-1.0
0.0,147056.18787965056,11100,-135956.18787965056,0.0,110,False,-1.0
0.0,152825.87025778412,11500,-141325.87025778412,0.0,114,False,-1.0
135602.2719759794,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.3560227197597941
67948.95271920302,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.3205104728079698
26385.050881708743,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.7361494911829126
77981.98211465405,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.2201801788534595
0.0,110467.4380258191,8500,-101967.4380258191,0.0,84,False,-1.0
0.0,125755.92303781261,9600,-116155.92303781261,0.0,95,False,-1.0
0.0,96807.59899692662,7500,-89307.59899692662,0.0,74,False,-1.0
288107.1833946452,161552.11833582347,12000,-149552.11833582347,0.0,120,True,1.8810718339464523
0.0,132797.50904394995,10100,-122697.50904394995,0.0,100,False,-1.0
118291.14337307496,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.18291143373074956
0.0,110467.4380258191,8500,-101967.4380258191,0.0,84,False,-1.0
0.0,129973.90063824876,9900,-120073.90063824876,0.0,98,False,-1.0
0.0,115994.80374050309,8900,-107094.80374050309,0.0,88,False,-1.0
35846.56602702426,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.6415343397297574
147249.22858475387,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.4724922858475387
75187.981283936,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.24812018716064005
0.0,122955.51663986627,9400,-113555.51663986627,0.0,93,False,-1.0
23401.794579426343,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.7659820542057365
0.0,138472.76033344373,10500,-127972.76033344373,0.0,104,False,-1.0
0.0,135630.4519893601,10300,-125330.4519893601,0.0,102,False,-1.0
4518.575689544372,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9548142431045562
24722.723661412114,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.752772763385879
15182.409599709374,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.8481759040029063
0.0,155725.02476874943,11700,-144025.02476874943,0.0,116,False,-1.0
25687.23604360463,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.7431276395639537
49544.42516679438,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.5045557483320562
46323.919898576874,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.5367608010142313
30812.645082193452,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.6918735491780654
0.0,154274.25145361622,11600,-142674.25145361622,0.0,115,False,-1.0
0.0,145619.7082462553,11000,-134619.7082462553,0.0,109,False,-1.0
0.0,122955.51663986627,9400,-113555.51663986627,0.0,93,False,-1.0
0.0,103609.34151485492,8000,-95609.34151485492,0.0,79,False,-1.0
37902.10537883697,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.6209789462116303
0.0,152825.87025778412,11500,-141325.87025778412,0.0,114,False,-1.0
0.0,155725.02476874943,11700,-144025.02476874943,0.0,116,False,-1.0
0.0,91406.46854703479,7100,-84306.46854703479,0.0,70,False,-1.0
297953.3828561168,161552.11833582347,12000,-149552.11833582347,0.0,120,True,1.979533828561168
5191.928472613326,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9480807152738666
7703.394833014951,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9229660516698505
238775.0403171234,161552.11833582347,12000,-149552.11833582347,0.0,120,True,1.387750403171234
71160.99043853844,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.2883900956146156
36755.26270491983,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.6324473729508018
0.0,92753.4106074263,7200,-85553.4106074263,0.0,71,False,-1.0
0.0,137050.43355390138,10400,-126650.43355390138,0.0,103,False,-1.0
0.0,117382.35543554548,9000,-108382.35543554548,0.0,89,False,-1.0
13778.21925342155,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.8622178074657845
0.0,110467.4380258191,8500,-101967.4380258191,0.0,84,False,-1.0
0.0,145619.7082462553,11000,-134619.7082462553,0.0,109,False,-1.0
50767.41439652052,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.4923258560347948
67783.01426236753,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.32216985737632464
30509.856618368394,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.6949014338163161
0.0,134212.81177289318,10200,-124012.81177289318,0.0,101,False,-1.0
0.0,155725.02476874943,11700,-144025.02476874943,0.0,116,False,-1.0
0.0,111845.86082699824,8600,-103245.86082699824,0.0,85,False,-1.0
0.0,142753.85072720566,10800,-131953.85072720566,0.0,107,False,-1.0
0.0,125755.92303781261,9600,-116155.92303781261,0.0,95,False,-1.0
0.0,109091.2880482116,8400,-100691.2880482116,0.0,83,False,-1.0
3882.69531848573,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9611730468151427
8687.416752659226,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9131258324734078
17747.775074406232,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.8225222492559376
0.0,107717.40714661226,8300,-99417.40714661226,0.0,82,False,-1.0
60254.06310386766,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.3974593689613234
15432.121587688101,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.8456787841231189
0.0,100881.90804598892,7800,-93081.90804598892,0.0,77,False,-1.0
0.0,145619.7082462553,11000,-134619.7082462553,0.0,109,False,-1.0
0.0,115994.80374050309,8900,-107094.80374050309,0.0,88,False,-1.0
196120.80168529344,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.9612080168529343
28291.758785674185,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.7170824121432581
1230.3408870998305,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9876965911290018
0.0,124354.56451818129,9500,-114854.56451818129,0.0,94,False,-1.0
0.0,152825.87025778412,11500,-141325.87025778412,0.0,114,False,-1.0
15920.371994974403,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.840796280050256
0.0,99521.56324692776,7700,-91821.56324692776,0.0,76,False,-1.0
26559.466430893845,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.7344053356910616
0.0,132797.50904394995,10100,-122697.50904394995,0.0,100,False,-1.0
6224.280107415774,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9377571989258422
0.0,135630.4519893601,10300,-125330.4519893601,0.0,102,False,-1.0
12933.699230124332,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.8706630076987567
0.0,137050.43355390138,10400,-126650.43355390138,0.0,103,False,-1.0
0.0,135630.4519893601,10300,-125330.4519893601,0.0,102,False,-1.0
0.0,139897.43620130038,10600,-129297.43620130038,0.0,105,False,-1.0
0.0,122955.51663986627,9400,-113555.51663986627,0.0,93,False,-1.0
0.0,124354.56451818129,9500,-114854.56451818129,0.0,94,False,-1.0
0.0,145619.7082462553,11000,-134619.7082462553,0.0,109,False,-1.0
75165.99358223249,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.2483400641776751
2374.0995640354754,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9762590043596452
318160.28620179225,161552.11833582347,12000,-149552.11833582347,0.0,120,True,2.1816028620179226
0.0,109091.2880482116,8400,-100691.2880482116,0.0,83,False,-1.0
0.0,129973.90063824876,9900,-120073.90063824876,0.0,98,False,-1.0
23971.599549605246,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.7602840045039475
0.0,117382.35543554548,9000,-108382.35543554548,0.0,89,False,-1.0
0.0,141324.4650371817,10700,-130624.46503718171,0.0,106,False,-1.0
0.0,152825.87025778412,11500,-141325.87025778412,0.0,114,False,-1.0
4433.447901158152,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9556655209884184
0.0,148495.03997594892,11200,-137295.03997594892,0.0,111,False,-1.0
26363.68422915713,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.7363631577084286
32373.901754788476,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.6762609824521153
0.0,158633.76356656215,11900,-146733.76356656215,0.0,118,False,-1.0
569.7233836771088,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.994302766163229
0.0,141324.4650371817,10700,-130624.46503718171,0.0,106,False,-1.0
0.0,109091.2880482116,8400,-100691.2880482116,0.0,83,False,-1.0
0.0,95453.97215525631,7400,-88053.97215525631,0.0,73,False,-1.0
32106.059318140124,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.6789394068185988
0.0,118772.19878502285,9100,-109672.19878502285,0.0,90,False,-1.0
12329.079411298273,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.8767092058870173
