month,portfolio_value,withdrawal,base_withdrawal,contribution,total_withdrawals,total_contributions,total_rebalance_costs,stocks_value,bonds_value,gold_value,cash_value,simulation
1,102244.66262634606,1200.0,1200.0,100,1200.0,100,0,62088.53177070828,40156.13085563779,0.0,0.0,8517
2,101049.5010419256,1204.8889485403781,1204.8889485403781,100,2404.888948540378,200,0,60807.1317042008,40242.36933772479,0.0,0.0,8517
3,97581.96509500635,1209.7978152622816,1209.7978152622816,100,3614.6867638026597,300,0,57986.36863565406,39595.596459352295,0.0,0.0,8517
4,100706.57006934044,1214.7266813148474,1214.7266813148474,100,4829.413445117507,400,0,61473.545312213784,39233.024757126645,0.0,0.0,8517
5,103585.07467153088,1219.6756281778244,1219.6756281778244,100,6049.089073295331,500,0,64794.80846165943,38790.26620987145,0.0,0.0,8517
6,104155.70322738416,2454.278829578072,1224.6447376629199,100,8503.367902873404,600,0,65505.20827382159,38650.494953562564,0.0,0.0,8517
7,100378.18325701867,1229.634091915152,1229.634091915152,100,9733.001994788556,700,0,62212.14073920049,38166.04251781818,0.0,0.0,8517
8,94982.1654471706,1234.6437734142085,1234.6437734142085,100,10967.645768202765,800,0,58504.89485042385,36477.27059674674,0.0,0.0,8517
9,97738.29892941583,1239.6738649758086,1239.6738649758086,100,12207.319633178573,900,0,61044.26233607311,36694.036593342724,0.0,0.0,8517
10,95302.95168095564,1244.7244497530737,1244.7244497530737,100,13452.044082931647,1000,0,58680.49591613373,36622.45576482191,0.0,0.0,8517
11,98526.73968550525,1249.7956112379013,1249.7956112379013,100,14701.839694169548,1100,0,61315.03222374162,37211.70746176365,0.0,0.0,8517
12,95065.71193610984,2514.887433262345,1254.887433262345,100,17216.727127431892,1200,0,58494.175274311325,36571.53666179851,0.0,0.0,8517
13,96084.53116165247,1260.0000000000005,1260.0000000000005,100,18476.727127431892,1300,0,59148.87864274967,36935.6525189028,0.0,0.0,8517
14,95932.06148362873,1265.1333959673973,1265.1333959673973,100,19741.86052339929,1400,0,58790.78149968298,37141.27998394574,0.0,0.0,8517
15,95869.42682808223,1270.287706025396,1270.287706025396,100,21012.148229424685,1500,0,58825.96498750246,37043.46184057976,0.0,0.0,8517
16,98106.20892939337,1275.4630153805902,1275.4630153805902,100,22287.611244805274,1600,0,60224.31729662033,37881.89163277304,0.0,0.0,8517
17,96419.61321735443,1280.659409586716,1280.659409586716,100,23568.27065439199,1700,0,57399.49454115511,39020.118676199316,0.0,0.0,8517
18,98160.88609525107,1285.8769745460663,1285.8769745460663,100,24854.147628938055,1800,0,60343.59821792299,37817.287877328075,0.0,0.0,8517
19,97650.37420573209,1291.1157965109103,1291.1157965109103,100,26145.263425448964,1900,0,59983.74473715198,37666.62946858012,0.0,0.0,8517
20,104048.69492245902,1296.3759620849194,1296.3759620849194,100,27441.639387533884,2000,0,66595.77467136671,37452.920251092306,0.0,0.0,8517
21,103522.00245917986,1301.6575582245996,1301.6575582245996,100,28743.296945758484,2100,0,67110.37246962998,36411.62998954989,0.0,0.0,8517
