month,portfolio_value,withdrawal,base_withdrawal,contribution,total_withdrawals,total_contributions,total_rebalance_costs,stocks_value,bonds_value,gold_value,cash_value,simulation
1,103649.7559225448,1200.0,1200.0,100,1200.0,100,0.0,51747.90993892431,30121.444417762712,21780.40156585778,0.0,8517
2,102241.53028109705,1200.9954457372155,1200.9954457372155,100,2400.9954457372155,200,0.0,50688.22372475954,30191.077045287948,21362.22951104956,0.0,8517
3,99301.40826831086,1201.9917172346106,1201.9917172346106,100,3602.9871629718264,300,0.0,48350.03597546695,29713.94316443464,21237.429128409283,0.0,8517
4,102051.8339745309,1202.9888151771852,1202.9888151771852,100,4805.975978149012,400,0.0,51270.935938756265,29449.456671339278,21331.44136443537,0.0,8517
5,104970.56997675994,1203.9867402505067,1203.9867402505067,100,6009.962718399519,500,0.0,54056.60009079236,29125.52659595942,21788.443290008156,0.0,8517
6,103963.48083513525,2410.9705676752187,1204.985493140712,100,8420.933286074738,600,0.0,54669.30396655528,29031.219676721536,20262.95719185844,0.0,8517
7,100637.43470398468,1205.9850745345063,1205.9850745345063,100,9626.918360609245,700,0.0,51934.5345761876,28674.822439858934,20028.077687938123,0.0,8517
8,95349.44643668484,1206.9854851191653,1206.9854851191653,100,10833.90384572841,800,0.0,48855.96132670254,27415.12335884271,19078.36175113958,0.0,8517
9,96767.13621945193,1207.9867255825343,1207.9867255825343,100,12041.890571310943,900,0.0,50987.12870564302,27583.775205485195,18196.232308323717,0.0,8517
10,94308.35176819646,1208.9887966130293,1208.9887966130293,100,13250.879367923973,1000,0.0,49025.01602719179,27536.82987022429,17746.50587078038,0.0,8517
11,95762.37852230847,1209.9916988996374,1209.9916988996374,100,14460.87106682361,1100,0.0,51230.04648787809,27982.07373654752,16550.25829788285,0.0,8517
12,92006.67691181954,2422.995433131917,1210.995433131917,100,16883.866499955526,1200,0.0,48880.50863687816,27504.820347495635,15621.347927445739,0.0,8517
13,92797.16594996893,1211.999999999999,1211.999999999999,100,18095.866499955526,1300,0.0,49431.9850544538,27781.124489047852,15584.056406467273,0.0,8517
14,91686.42087157496,1213.0054001945866,1213.0054001945866,100,19308.871900150112,1400,0.0,49133.01367374656,27935.956517083316,14617.450680745082,0.0,8517
15,91255.6278747735,1214.0116344069559,1214.0116344069559,100,20522.88353455707,1500,0.0,49162.393477510675,27862.368640214772,14230.865757048068,0.0,8517
16,93934.144342072,1215.018703328956,1215.018703328956,100,21737.902237886025,1600,0.0,50336.57001003461,28496.131102732645,15101.443229304756,0.0,8517
17,92514.86009459157,1216.0266076530108,1216.0266076530108,100,22953.928845539034,1700,0.0,47984.150143459105,29357.619319255344,15173.090631877109,0.0,8517
18,94917.76174777847,1217.035348072118,1217.035348072118,100,24170.96419361115,1800,0.0,50460.90778812957,28461.431857860083,15995.422101788825,0.0,8517
19,95239.68057765038,1218.0449252798503,1218.0449252798503,100,25389.009118891,1900,0.0,50182.71949896907,28360.892078989516,16696.06899969181,0.0,8517
20,100571.36038407582,1219.0553399703558,1219.0553399703558,100,26608.064458861358,2000,5.446465170399432,50285.68019203791,30171.408115222745,20114.272076815163,0.0,8517
21,99602.65776346989,1220.0665928383585,1220.0665928383585,100,27828.131051699715,2100,5.446465170399432,50692.40711516012,29343.075119086738,19567.175529223023,0.0,8517
22,101799.51326507881,1221.0786845791583,1221.0786845791583,100,29049.209736278874,2200,5.446465170399432,53109.44490807432,29430.63959080055,19259.428766203935,0.0,8517
23,99319.87887594619,1222.0916158886325,1222.0916158886325,100,30271.301352167506,2300,5.446465170399432,51452.19625708972,28796.0119312839,19071.670687572565,0.0,8517
24,99054.26148279198,1223.105387463235,1223.105387463235,100,31494.40673963074,2400,5.446465170399432,49786.57523062435,29284.769709385826,19982.91654278179,0.0,8517
25,100333.08163343032,1224.1199999999978,1224.1199999999978,100,32718.52673963074,2500,5.446465170399432,50428.758065151436,28849.716535825246,21054.607032453652,0.0,8517
26,100382.76753350243,1225.1354541965313,1225.1354541965313,100,33943.66219382727,2600,5.446465170399432,50061.62950660572,28895.712992772093,21425.425034124604,0.0,8517
27,100503.22352900349,1226.151750751024,1226.151750751024,100,35169.813944578294,2700,5.446465170399432,50361.58217996141,28110.58590124046,22031.0554478016,0.0,8517
28,104007.4511154529,1227.1688903622444,1227.1688903622444,100,36396.982834940536,2800,5.446465170399432,53320.22101648513,27974.970821289306,22712.25927767847,0.0,8517
29,103679.32417277222,1228.1868737295397,1228.1868737295397,100,37625.16970867007,2900,5.446465170399432,52946.16243564797,27868.608632775504,22864.553104348754,0.0,8517
30,104588.90527535715,1229.205701552838,1229.205701552838,100,38854.375410222914,3000,5.446465170399432,53806.36836823919,27221.08387341299,23561.45303370495,0.0,8517
31,103440.12738246648,1230.2253745326477,1230.2253745326477,100,40084.60078475556,3100,5.446465170399432,51862.80095638258,27848.65004902152,23728.67637706237,0.0,8517
32,104174.49802894036,1231.2458933700584,1231.2458933700584,100,41315.84667812562,3200,5.446465170399432,50356.74486804727,28144.148229731858,25673.604931161233,0.0,8517
33,107089.624390288,1232.2672587667412,1232.2672587667412,100,42548.11393689236,3300,5.446465170399432,52565.647979660374,28473.433983244642,26050.54242738299,0.0,8517
34,107862.6179636623,1233.289471424949,1233.289471424949,100,43781.40340831731,3400,5.446465170399432,52558.95402249482,28778.194745480407,26525.4691956871,0.0,8517
35,109912.8187700436,1234.3125320475178,1234.3125320475178,100,45015.715940364826,3500,11.026416696614964,54956.4093850218,32973.84563101308,21982.56375400872,0.0,8517
36,102121.32335229825,1235.3364413378663,1235.3364413378663,100,46251.05238170269,3600,11.026416696614964,48453.115528896065,33007.587417487164,20660.620405915037,0.0,8517
37,100980.31017218133,1236.3611999999969,1236.3611999999969,100,47487.41358170269,3700,11.026416696614964,48703.253107165154,32499.378675326174,19777.678389689998,0.0,8517
38,106134.71417024409,1237.3868087384956,1237.3868087384956,100,48724.80039044119,3800,11.026416696614964,55193.939515328464,31652.76850172259,19288.006153193026,0.0,8517
39,104618.41534715348,1238.4132682585332,1238.4132682585332,100,49963.21365869972,3900,11.026416696614964,54289.981340349485,31287.58865469599,19040.845352108016,0.0,8517
40,104430.13114909006,1239.4405792658656,1239.4405792658656,100,51202.65423796559,4000,11.026416696614964,52876.82205913777,31194.44106014038,20358.868029811892,0.0,8517
41,102190.41378459627,1240.4687424668339,1240.4687424668339,100,52443.122980432425,4100,11.026416696614964,49954.755774887446,30415.690599514608,21819.96741019422,0.0,8517
42,102065.05875062627,1241.4977585683653,1241.4977585683653,100,53684.62073900079,4200,11.026416696614964,50466.253247378314,30570.46343895726,21028.342064290693,0.0,8517
43,100557.74603151937,1242.527628277973,1242.527628277973,100,54927.148367278765,4300,11.026416696614964,50784.309605071045,29674.721398616744,20098.715027831568,0.0,8517
44,94867.60099722868,1243.5583523037578,1243.5583523037578,100,56170.70671958252,4400,11.026416696614964,47550.8884040786,28757.538901991316,18559.17369115878,0.0,8517
45,92900.50406697641,1244.5899313544073,1244.5899313544073,100,57415.29665093693,4500,11.026416696614964,46596.34339726519,28326.399723188824,17977.760946522387,0.0,8517
46,91722.84102460598,1245.6223661391973,1245.6223661391973,100,58660.91901707613,4600,11.026416696614964,46763.82408786902,28207.697901742187,16751.319034994787,0.0,8517
47,90885.77543806535,1246.6556573679918,1246.6556573679918,100,59907.57467444412,4700,11.026416696614964,45756.07198784081,28993.858080391517,16135.84536983303,0.0,8517
48,91883.27104116877,1247.6898057512437,1247.6898057512437,100,61155.264480195365,4800,11.026416696614964,47223.94191126261,28521.154838749306,16138.17429115687,0.0,8517
49,89257.67656553804,1248.7248119999956,1248.7248119999956,100,62403.98929219536,4900,11.026416696614964,44319.887673576435,28915.91932772595,16021.869564235669,0.0,8517
50,89109.1006700409,1249.7606768258793,1249.7606768258793,100,63653.749969021235,5000,11.026416696614964,44748.404854828084,28806.584323163177,15554.111492049635,0.0,8517
51,87691.93370903349,1250.7974009411173,1250.7974009411173,100,64904.547369962354,5100,11.026416696614964,43870.33343444026,29328.15478143616,14493.44549315706,0.0,8517
52,86979.56555592598,1251.834985058523,1251.834985058523,100,66156.38235502088,5200,11.026416696614964,43508.83661088315,28636.61463014729,14834.114314895536,0.0,8517
53,87285.11191618303,1252.873429891501,1252.873429891501,100,67409.25578491238,5300,11.026416696614964,43606.021333580415,28631.01686851973,15048.073714082891,0.0,8517
54,89817.69287361397,1253.9127361540477,1253.9127361540477,100,68663.16852106643,5400,11.026416696614964,46259.619054404255,27944.660247961914,15613.413571247795,0.0,8517
55,91278.55080942335,1254.9529045607517,1254.9529045607517,100,69918.12142562718,5500,11.026416696614964,45671.44635165601,28533.535395434687,17073.569062332663,0.0,8517
56,92299.52737339199,1255.9939358267943,1255.9939358267943,100,71174.11536145397,5600,11.026416696614964,46213.33936288431,28709.91888545611,17376.269125051553,0.0,8517
