month,portfolio_value,withdrawal,base_withdrawal,contribution,total_withdrawals,total_contributions,total_rebalance_costs,stocks_value,bonds_value,gold_value,cash_value,simulation
23,104717.86580060063,1244.3662616154218,1244.3662616154218,100,30543.20580072497,2300,0,68686.12724315684,36031.738557443794,0.0,0.0,8517
24,103128.5377237424,1246.421433665846,1246.421433665846,100,31789.627234390813,2400,0,66477.18861979675,36651.34910394565,0.0,0.0,8517
25,103451.98383254782,1248.4800000000012,1248.4800000000012,100,33038.107234390816,2500,0,67341.47205394613,36110.5117786017,0.0,0.0,8517
26,103023.44593224273,1250.5419662238226,1250.5419662238226,100,34288.649200614636,2600,0,66853.90625928841,36169.53967295431,0.0,0.0,8517
27,102436.50792538392,1252.6073379525044,1252.6073379525044,100,35541.25653856714,2700,0,67251.3609391294,35185.14698625451,0.0,0.0,8517
28,106214.08661650492,1254.676120810515,1254.676120810515,100,36795.93265937766,2800,0,71199.85659432072,35014.2300221842,0.0,0.0,8517
29,105573.6075904542,1256.7483204316113,1256.7483204316113,100,38052.680979809265,2900,0,70695.10114732182,34878.506443132355,0.0,0.0,8517
30,105896.44221376725,1258.8239424588558,1258.8239424588558,100,39311.50492226812,3000,0,71833.26786867315,34063.174345094085,0.0,0.0,8517
31,104063.4130955195,1260.9029925446303,1260.9029925446303,100,40572.40791481275,3100,0,69222.83663929766,34840.57645622183,0.0,0.0,8517
32,102372.16320542894,1262.985476350652,1262.985476350652,100,41835.3933911634,3200,0,67179.3481982021,35192.815007226855,0.0,0.0,8517
33,105683.57460502301,1265.0713995479896,1265.0713995479896,100,43100.46479071139,3300,0,70094.88958258272,35588.68502244028,0.0,0.0,8517
34,106002.70848008583,1267.1607678170772,1267.1607678170772,100,44367.62555852847,3400,0,70051.03284884502,35951.67563124083,0.0,0.0,8517
35,107326.01100728959,1269.2535868477307,1269.2535868477307,100,45636.879145376195,3500,0,71814.36899282187,35511.64201446772,0.0,0.0,8517
36,98791.93584991754,1271.3498623391636,1271.3498623391636,100,46908.22900771536,3600,0,63269.924652862595,35522.01119705495,0.0,0.0,8517
37,98507.44822112795,1273.4496000000017,1273.4496000000017,100,48181.67860771536,3700,0,63555.13685393433,34952.31136719362,0.0,0.0,8517
38,106028.04485735354,1275.5528055482996,1275.5528055482996,100,49457.23141326366,3800,0,71998.72501491533,34029.31984243822,0.0,0.0,8517
