month,portfolio_value,withdrawal,base_withdrawal,contribution,total_withdrawals,total_contributions,total_rebalance_costs,stocks_value,bonds_value,gold_value,cash_value,simulation
1,102244.66262634606,1200.0,1200.0,100,1200.0,100,0,62088.53177070828,40156.13085563779,0.0,0.0,8517
2,101053.39454472876,1200.9954457372155,1200.9954457372155,100,2400.9954457372155,200,0,60809.47464241724,40243.91990231152,0.0,0.0,8517
3,97593.57385065804,1201.9917172346106,1201.9917172346106,100,3602.9871629718264,300,0,57993.266934781,39600.30691587705,0.0,0.0,8517
4,100730.42101962194,1202.9888151771852,1202.9888151771852,100,4805.975978149012,400,0,61488.10446631722,39242.316553304714,0.0,0.0,8517
5,103625.56142311214,1203.9867402505067,1203.9867402505067,100,6009.962718399519,500,0,64820.13384103729,38805.427582074844,0.0,0.0,8517
6,104240.6414557483,2410.9705676752187,1204.985493140712,100,8420.933286074738,600,0,65558.62730097993,38682.01415476835,0.0,0.0,8517
7,100484.6111708358,1205.9850745345063,1205.9850745345063,100,9626.918360609245,700,0,62278.10236689816,38206.50880393763,0.0,0.0,8517
8,95111.73344488836,1206.9854851191653,1206.9854851191653,100,10833.90384572841,800,0,58584.70311807882,36527.030326809545,0.0,0.0,8517
9,97904.86845323407,1207.9867255825343,1207.9867255825343,100,12041.890571310943,900,0,61148.296412996184,36756.57204023789,0.0,0.0,8517
10,95503.05732684612,1208.9887966130293,1208.9887966130293,100,13250.879367923973,1000,0,58803.70614550605,36699.35118134006,0.0,0.0,8517
11,98775.83236722446,1209.9916988996374,1209.9916988996374,100,14460.87106682361,1100,0,61470.047256767786,37305.78511045668,0.0,0.0,8517
12,95404.05179384744,2422.995433131917,1210.995433131917,100,16883.866499955526,1200,0,58702.35665262034,36701.6951412271,0.0,0.0,8517
13,96478.62545967978,1211.999999999999,1211.999999999999,100,18095.866499955526,1300,0,59391.479980613294,37087.145479066494,0.0,0.0,8517
14,96382.43725554063,1213.0054001945866,1213.0054001945866,100,19308.871900150112,1400,0,59066.788740533746,37315.64851500688,0.0,0.0,8517
15,96381.27881106443,1214.0116344069559,1214.0116344069559,100,20522.88353455707,1500,0,59140.03995202363,37241.23885904081,0.0,0.0,8517
16,98696.7233830956,1215.018703328956,1215.018703328956,100,21737.902237886025,1600,0,60586.81555453993,38109.90782855565,0.0,0.0,8517
17,97071.71517440517,1216.0266076530108,1216.0266076530108,100,22953.928845539034,1700,0,57787.69691487375,39284.01825953142,0.0,0.0,8517
18,98901.6264823893,1217.035348072118,1217.035348072118,100,24170.96419361115,1800,0,60798.962284847614,38102.66419754169,0.0,0.0,8517
19,98469.32142834955,1218.0449252798503,1218.0449252798503,100,25389.009118891,1900,0,60486.79986166374,37982.521566685806,0.0,0.0,8517
20,105008.65587438416,1219.0553399703558,1219.0553399703558,100,26608.064458861358,2000,0,67210.1922120707,37798.46366231346,0.0,0.0,8517
21,104569.78165435902,1220.0665928383585,1220.0665928383585,100,27828.131051699715,2100,0,67789.61794773137,36780.163706627616,0.0,0.0,8517
22,107979.09247390793,1221.0786845791583,1221.0786845791583,100,29049.209736278874,2200,0,71066.16002932354,36912.93244458441,0.0,0.0,8517
23,105029.32643559719,1222.0916158886325,1222.0916158886325,100,30271.301352167506,2300,0,68890.4192676653,36138.907167931895,0.0,0.0,8517
24,103461.997074959,1223.105387463235,1223.105387463235,100,31494.40673963074,2400,0,66692.1382416681,36769.8588332909,0.0,0.0,8517
25,103814.56256013215,1224.1199999999978,1224.1199999999978,100,32718.52673963074,2500,0,67577.4905849247,36237.07197520744,0.0,0.0,8517
26,103413.96165320261,1225.1354541965313,1225.1354541965313,100,33943.66219382727,2600,0,67107.31946213356,36306.642191069055,0.0,0.0,8517
27,102855.62343251532,1226.151750751024,1226.151750751024,100,35169.813944578294,2700,0,67526.51760754897,35329.10582496636,0.0,0.0,8517
28,106680.88950780783,1227.1688903622444,1227.1688903622444,100,36396.982834940536,2800,0,71512.77458832077,35168.114919487074,0.0,0.0,8517
29,106071.24089302862,1228.1868737295397,1228.1868737295397,100,37625.16970867007,2900,0,71028.33061122583,35042.9102818028,0.0,0.0,8517
30,106430.67772475815,1229.205701552838,1229.205701552838,100,38854.375410222914,3000,0,72195.65853793194,34235.019186826226,0.0,0.0,8517
