portfolio,survival_rate,mean_final_value,median_final_value,std_final_value,min_final_value,max_final_value,percentile_5,percentile_25,percentile_75,percentile_95,mean_months_survived,mean_total_withdrawals,mean_total_rebalance_costs,mean_total_return,mean_total_contributions,mean_net_flow
cartera_1,48.99,28369.653062448753,0.0,53181.535758379716,0.0,750314.8446248835,0.0,0.0,36737.9539397686,130283.55185759637,108.9412,139283.91491304833,0.0027252673479327867,-71.63034693755125,10945.13,-128338.78491304831
cartera_2,52.690000000000005,19280.379386226385,2345.981097398357,30406.34101472953,0.0,343364.89006483025,0.0,0.0,29431.96729955942,81796.96462425555,111.6446,142803.5605427972,29.72529405356646,-80.71962061377361,11211.77,-131591.7905427972
cartera_3,55.84,39301.93649073159,7528.94407860663,67493.88915257086,0.0,936895.0784294317,0.0,0.0,53854.10709809247,169245.08195708037,110.1912,140925.08472450927,0.004118621770499788,-60.698063509268415,11063.28,-129861.80472450929
