portfolio,survival_rate,mean_final_value,median_final_value,std_final_value,min_final_value,max_final_value,percentile_5,percentile_25,percentile_75,percentile_95,mean_months_survived,mean_total_withdrawals,mean_total_rebalance_costs,mean_total_return,mean_total_contributions,mean_net_flow
cartera_1,40.81,23088.167261418086,0.0,49190.483793302534,0.0,722380.3681951185,0.0,0.0,25605.154517533825,117183.5931314481,106.1606,141823.7964407565,0.0054387321238126615,-76.91183273858191,10675.25,-131148.5464407565
cartera_2,41.52,14192.332040599596,0.0,26757.091287758423,0.0,328483.87274452223,0.0,0.0,18794.517924756325,69615.2048108459,108.6896,145371.25524138968,56.85699401736467,-85.8076679594004,10927.44,-134443.81524138968
cartera_3,47.8,33104.50660757804,0.0,63404.62549808381,0.0,907732.7497448132,0.0,0.0,42251.967529957394,154398.2331872558,107.7296,144069.52578650857,0.007846560394758548,-66.89549339242195,10825.16,-133244.36578650857
