portfolio,survival_rate,mean_final_value,median_final_value,std_final_value,min_final_value,max_final_value,percentile_5,percentile_25,percentile_75,percentile_95,mean_months_survived,mean_total_withdrawals,mean_total_rebalance_costs,mean_total_return,mean_total_contributions,mean_net_flow
cartera_1,19.830000000000002,11301.715746443293,0.0,36570.156317258065,0.0,635207.2409097219,0.0,0.0,0.0,74494.84820764602,96.9608,145850.92293334,0.010082334151217438,-88.69828425355671,9776.25,-136074.67293334
cartera_2,14.899999999999999,4406.919898649993,0.0,15660.507133015664,0.0,279871.22555567906,0.0,0.0,0.0,31736.17726930275,98.3406,148061.524880141,124.64661712854071,-95.59308010135003,9919.16,-138142.364880141
cartera_3,27.26,18186.70827712717,0.0,49905.954584221916,0.0,813251.4452634965,0.0,0.0,4494.884345085302,109872.1038091764,99.3285,150162.2357116775,0.018475943197959855,-81.81329172287282,10005.59,-140156.6457116775
