,stocks,bonds,gold,cash
2015-01-05,-0.01844721353258727,0.006082838128632987,0.01498000666245465,-1.6094378813900143
2015-01-06,-0.00893325469070017,0.006694690930776477,0.01271065639212335,1.8971199538417953
2015-01-07,0.011562735844876304,-0.00018592785812607008,-0.00716087932157311,0.0
2015-01-08,0.01773016812715569,-0.004086057554213558,-0.0018188935745322122,-0.1053605363538842
2015-01-09,-0.008439322147078786,0.00492126131478095,0.006269592809968894,-0.18232153609789672
2015-01-12,-0.008126616843470486,0.0035132560969540682,0.013640062420648448,-0.1431008006565545
2015-01-13,-0.0025818854358163217,0.0009218135385844877,0.0012972013624871278,0.5705448397788658
2015-01-14,-0.00583002896797565,0.004599974688812387,8.099451778340471e-05,0.08338162189658237
2015-01-15,-0.009290903004567546,0.008499634476593446,0.0242498594504341,-0.08338162189658241
2015-01-16,0.013334893186267299,-0.00739887346931712,0.009600383272961813,-0.2451225030244147
2015-01-20,0.001548752433400387,0.0022896895650946956,0.013457421344314642,-0.8109301256710786
2015-01-21,0.004720465022189361,-0.004767931591645682,-0.0003864137138910775,0.9162906620249629
2015-01-22,0.015154313070630327,-0.0024847525465910027,0.005396251348961029,-0.2876820724517809
2015-01-23,-0.005506656279301935,0.0065206274921708355,-0.00624686858857903,-0.1431008006565545
2015-01-26,0.0025651679986232745,-0.00229128026308877,-0.010264437842764765,-0.9555114880115553
2015-01-27,-0.013478287815857576,0.0013756969163030474,0.009567905338056997,1.2809338247660065
2015-01-28,-0.01358750281102202,0.007667029519760434,-0.004500261174159382,-0.18232153609789672
2015-01-29,0.00948951705826357,-0.0035525707838888186,-0.024642104059361822,-0.40546510810816444
2015-01-30,-0.013077099006318498,0.008721684801876439,0.018870738528237115,-0.6931471805599453
2015-02-02,0.012879170000215516,-0.0012507408474458246,-0.0018006415575542159,0.0
2015-02-03,0.014336238577453099,-0.00847280162179593,-0.013013315577139663,1.0986122886681098
2015-02-04,-0.0041647065724529616,0.0016451482005853128,0.003249535378765735,-1.0986122886681098
2015-02-05,0.010238810710909235,-0.003660572217523856,-0.0014253298741546375,0.4700036990949278
2015-02-06,-0.00342402761187852,-0.011247310663855481,-0.022517859410575658,0.6286085895731819
2015-02-09,-0.004256239310481708,-0.00046326943098485846,0.005576467523877212,-1.6094378813900143
2015-02-10,0.010618979554062366,-0.002508095560303431,-0.007442254987160046,0.5108255927219046
2015-02-11,-2.9034010158247172e-05,-0.00037207559327005106,-0.010283266746028365,0.0
2015-02-12,0.009598295065916026,0.00037207559326994487,0.0009019520901303559,0.4700036990949278
2015-02-13,0.004066459227779422,-0.0033526917635833893,0.005231782127142109,-0.47000369909492773
2015-02-17,0.0015962996977983961,-0.007116585022528738,-0.015115727381669742,0.4700036990949278
2015-02-18,-0.00031435862322874816,0.004781302681419906,-0.006977372496271956,0.48550778891662744
2015-02-19,-0.0010626217157189283,-0.002527864724002482,0.0061492836610937025,0.0
2015-02-20,0.006107842721055837,-0.0005629060687894103,-0.002239230603391369,-0.26236430745161
2015-02-23,-0.000303385211985694,0.004585450147798992,-0.0034099716670723044,0.4054651081081644
2015-02-24,0.002754972468831103,0.006608461895717603,-0.0028366649341615255,0.18232153609789672
2015-02-25,-0.0007660169636026022,0.0009273867873948509,0.00341964180291274,-0.18232153609789672
2015-02-26,-0.00147711863025381,-0.005949727147922606,0.007135163161701397,-0.1431008006565545
2015-02-27,-0.0029606830486323707,0.0035368014608845155,0.0024770882622964334,-0.48550778891662744
2015-03-02,0.0061062381811330165,-0.0074714667349481565,-0.0040491106533266635,-0.47000369909492773
2015-03-03,-0.004548872603817568,-0.0021585638147445982,-0.0030683369818883667,0.9555114880115552
2015-03-04,-0.004398161230154572,0.0007505918065336436,-0.0028279353859085,-0.26236430745161
2015-03-05,0.001195365251036089,0.0005636958745797118,-0.003922351093293688,-1.20397277328185
2015-03-06,-0.014275356362467066,-0.010280035070962019,-0.02695082510784794,0.5108255927219046
2015-03-09,0.003936662357975969,0.004634410619691624,0.0019738679038005798,0.0
2015-03-10,-0.017106820937141425,0.00423709131746393,-0.0054159159489475485,0.6931471805599453
2015-03-11,-0.001919520676484767,0.0017834065376905633,-0.008135776840567531,0.2623643074516098
2015-03-12,0.012522702206037068,0.0009377787953485949,0.0012159324570827387,0.32542233675445126
2015-03-13,-0.006093237090196838,-0.0015004556952356674,0.0004338959677507792,0.24512250302441466
2015-03-16,0.013442909023855906,0.0034661194807671315,0.0006072017488049268,0.26570314143763396
2015-03-17,-0.0033256977077820026,0.002055249997696283,-0.004344810265399723,0.4700036602898216
2015-03-18,0.012085101501628708,0.011413845772786677,0.0026959841412746766,-0.23361489202898694
2015-03-19,-0.004884489126950175,-0.004716189126334214,0.015255586684473977,-1.3350010569289443
2015-03-20,0.008972382193259682,0.004070572253194059,0.013339824035723362,-1.20397277328185
2015-03-23,-0.0017472566067133015,0.0012913462374313056,0.0026971957568776507,0.0
2015-03-24,-0.006158345701590925,0.0030386118004388047,0.0031095972006652695,1.6094378813900143
2015-03-25,-0.014665926527239062,-0.004329958037870213,0.0046882443814050614,0.18232153609789672
2015-03-26,-0.0023803307374738966,-0.005647887003458262,0.006493468269733933,0.44183282619352976
2015-03-27,0.0023657607295033602,0.0038918907881174657,-0.004407613858515569,0.06899281826851893
2015-03-30,0.012162382647149434,-9.216183093344285e-05,-0.012580891750166273,-0.26570314143763396
2015-03-31,-0.008834686217530795,0.0025862365525343924,-0.0014359335417667746,0.08338162189658237
2015-04-01,-0.0039732542018475255,0.004747531685091758,0.0209107656929285,0.27763171627851424
2015-04-02,0.0035234523037141535,-0.002854654237028586,-0.005977561320432106,-1.1939224854055723
2015-04-06,0.006587072647165644,0.0012901539717812955,0.014631342783434479,-1.20397277328185
2015-04-07,-0.002064032708587167,0.0008284250096930105,-0.006586554489201088,1.6094378813900143
2015-04-08,0.0026789415573472003,-0.000920680739298655,-0.006214545543826507,0.18232153609789672
